id,name,language,description,watchers,pull_requests,commits,members,issues,bucket,include
83569,https://api.github.com/repos/liip/LiipFunctionalTestBundle,PHP,Some helper classes for writing functional tests in Symfony2,504,320,445,40,503,popular,
3245727,https://api.github.com/repos/easydigitaldownloads/Easy-Digital-Downloads,PHP,Sell digital downloads through WordPress,768,3099,15433,54,7251,popular,x
3452,https://api.github.com/repos/LimeSurvey/LimeSurvey,PHP,The most popular FOSS online survey tool on the web.,1242,1269,18724,30,1290,popular,
4221,https://api.github.com/repos/symfony-cmf/cmf-sandbox,PHP,Base project for trying CMF components integration,431,237,1499,39,414,medium,
14661,https://api.github.com/repos/symphonycms/symphony-2,PHP,This is the official Symphony CMS repository.,682,941,4259,14,2555,medium,
26666,https://api.github.com/repos/ruflin/Elastica,PHP,Elastica is a PHP client for elasticsearch,1995,1048,1991,12,1677,medium,x
3452582,https://api.github.com/repos/ingenesis/shopp,PHP,An ecommerce development framework plugin for WordPress,62,350,2699,12,1740,medium,
42065,https://api.github.com/repos/novius-os/core,PHP,,15,292,3531,12,314,medium,
24524,https://api.github.com/repos/atk4/atk4,PHP,"Agile Toolkit is a PHP framework for developing Powerful Web Applications. Inspired by Desktop Toolkits (QT, Cocoa, .NET) it provides clever web application framework for developers with any skill level. Agile Toolkit is licensed under MIT",213,488,3805,10,773,medium,x
10214591,https://api.github.com/repos/omeka/omeka-s,PHP,"Omeka S is a web publication system for universities, galleries, libraries, archives, and museums. It consists of a local network of independently curated exhibits sharing a collaboratively built pool of items, media, and their metadata. This software is",155,295,4933,10,1414,medium,
22097489,https://api.github.com/repos/l3pufg/tainacan,PHP,,8,1,1114,12,2,medium,
148161,https://api.github.com/repos/cakephp/cakepackages,PHP,"Self-contained application that automatically tracks cakephp developer's open source code repositories, including applications and plugins",58,19,1128,21,83,medium,x
88778,https://api.github.com/repos/mapbender/mapbender-starter,PHP,Mapbender3 starter project,29,86,2488,11,91,medium,
14763016,https://api.github.com/repos/satanasov/pmsearch,PHP,PM Search,5,9,28,0,10,small,x
52099166,https://api.github.com/repos/php-translation/symfony-bundle,PHP,,205,185,545,0,303,small,
34333547,https://api.github.com/repos/spryker/Checkout,PHP,[READ ONLY] Subtree split of the Checkout bundle.,0,0,266,2,0,small,
23818051,https://api.github.com/repos/OpenClassrooms/DoctrineCacheExtensionBundle,PHP,,0,1,35,0,1,small,
51236374,https://api.github.com/repos/yawik/StackoverflowApi,PHP,Yawik module to push and manage jobs to/with the API from talent.stackoverflow.com,2,1,41,0,10,small,x
1745,https://api.github.com/repos/umpirsky/Transliterator,PHP,Transliterator is a PHP library for text transliteration.,55,7,46,1,12,small,
120140657,https://api.github.com/repos/goneio/AppCore,PHP,,0,1,24,0,1,small,
28232081,https://api.github.com/repos/Lakion/ApiTestCase,PHP,Handy PHPUnit test case for testing JSON APIs in your Symfony applications.,177,96,316,0,122,small,x
70383165,https://api.github.com/repos/CleanTalk/phpbb3.1-3.2-antispam,PHP,,1,1,114,0,4,small,
38046500,https://api.github.com/repos/inpsyde/Inpsyde-Validator,PHP,Inpsyde Validator library,11,2,52,0,5,small,
4712205,https://api.github.com/repos/cuberite/cuberite,C++,A custom Minecraft compatible game server written in C++,693,1040,8395,7,2254,big,x
8221199,https://api.github.com/repos/OpenMW/openmw,C++,OpenMW is an unofficial open source engine reimplementation of the game Morrowind.,2824,2315,6635,0,2358,big,
3386856,https://api.github.com/repos/dartsim/dart,C++,Dynamic Animation and Robotics Toolkit,342,736,7934,13,1253,big,
8246028,https://api.github.com/repos/wesnoth/wesnoth,C++,"Free, turn-based strategy game with a high fantasy theme, featuring both single-player, and online/hotseat multiplayer combat.",2384,1859,24099,0,4485,big,x
138791,https://api.github.com/repos/mawww/kakoune,C++,mawww's experiment for a better code editor,4417,1277,6077,1,2936,big,x
101350,https://api.github.com/repos/kduske/TrenchBroom,C++,Cross-Platform Level Editor,515,560,6413,5,2783,big,
6359,https://api.github.com/repos/scummvm/scummvm,C++,ScummVM main repository,1171,1631,78134,49,1654,big,
7414525,https://api.github.com/repos/supertuxkart/stk-code,C++,The code base of supertuxkart,1576,607,10820,0,4834,big,
10649973,https://api.github.com/repos/opensim-org/opensim-core,C++,"SimTK OpenSim 4.0 C++ libraries and command-line applications, and Java/Python wrapping.",237,1167,14372,12,2383,big,
34957,https://api.github.com/repos/PX4/Firmware,C++,PX4 Pro Autopilot Software,2824,7273,63827,8,12193,big,
